Date,City,MobilityZone,DayType,BusPassengers,BikeTrips,ParkingOccupancy,TrafficCount,TransportStrainIndex,EventZone,EventType,EventName,Attendance,VenueCapacity,IsHoliday,WeekendFlag,PT_Preference_Score
2025-01-01,Kozani,University,Weekday,3910.0,305.0,68.4,15938.0,24.56,University,Cultural,January Cultural,793.0,1111.0,1,0,26.44
2025-01-02,Kozani,Center,Weekday,4926.0,231.0,68.2,18385.0,28.27,No Event,No Event,No Event,0.0,0.0,0,0,28.05
2025-01-03,Kozani,Center,Weekday,5119.0,246.0,74.5,18816.0,29.49,No Event,No Event,No Event,0.0,0.0,0,0,28.51
2025-01-04,Kozani,Waterfront,Weekend,4166.5,238.0,61.6,14150.0,22.16,No Event,No Event,No Event,0.0,0.0,0,1,31.13
2025-01-05,Kozani,University,Weekend,3872.0,252.0,67.0,14335.0,23.19,No Event,No Event,No Event,0.0,0.0,0,1,28.77
2025-01-06,Kozani,University,Weekday,3730.0,268.0,52.5,14703.0,21.51,No Event,No Event,No Event,0.0,0.0,1,0,27.19
2025-01-07,Kozani,University,Weekday,4974.0,261.0,61.0,19650.0,28.42,No Event,No Event,No Event,0.0,0.0,0,0,26.64
2025-01-08,Kozani,Waterfront,Weekday,4987.0,274.0,70.4,19112.0,28.95,No Event,No Event,No Event,0.0,0.0,0,0,27.53
2025-01-09,Kozani,Center,Weekday,5068.0,291.0,64.7,19130.0,28.17,No Event,No Event,No Event,0.0,0.0,0,0,28.01
2025-01-10,Kozani,West District,Weekday,4735.0,257.0,70.4,19304.0,27.81,No Event,No Event,No Event,0.0,0.0,0,0,25.86
2025-01-11,Kozani,University,Weekend,3373.0,244.0,67.2,15034.0,23.64,No Event,No Event,No Event,0.0,0.0,0,1,24.06
2025-01-12,Kozani,Center,Weekend,3770.0,242.0,68.9,14458.0,23.57,No Event,No Event,No Event,0.0,0.0,0,1,27.75
2025-01-13,Kozani,West District,Weekday,4731.0,266.0,64.6,18990.0,28.01,No Event,No Event,No Event,0.0,0.0,0,0,26.31
2025-01-14,Kozani,University,Weekday,4686.0,283.0,73.0,18076.0,27.96,No Event,No Event,No Event,0.0,0.0,0,0,27.49
2025-01-15,Kozani,Waterfront,Weekday,4984.0,266.0,71.1,19002.0,29.0,No Event,No Event,No Event,0.0,0.0,0,0,27.63
2025-01-16,Kozani,West District,Weekday,4716.0,282.0,80.2,18806.0,29.62,No Event,No Event,No Event,0.0,0.0,0,0,26.58
2025-01-17,Kozani,Waterfront,Weekday,5049.0,293.0,67.5,19202.0,28.57,No Event,No Event,No Event,0.0,0.0,0,0,27.82
2025-01-18,Kozani,West District,Weekend,3625.0,269.0,75.4,14075.0,23.68,No Event,No Event,No Event,0.0,0.0,0,1,27.66
2025-01-19,Kozani,Center,Weekend,3727.0,269.0,73.3,15399.0,24.81,Center,Cultural,January Cultural,669.0,981.0,0,1,25.95
2025-01-20,Kozani,West District,Weekday,5088.0,272.0,74.8,19759.0,30.24,No Event,No Event,No Event,0.0,0.0,0,0,27.13
2025-01-21,Kozani,University,Weekday,5075.0,282.0,62.9,19913.0,28.81,No Event,No Event,No Event,0.0,0.0,0,0,26.9
2025-01-22,Kozani,Center,Weekday,5033.0,295.0,70.5,19178.0,28.89,No Event,No Event,No Event,0.0,0.0,0,0,27.78
2025-01-23,Kozani,Center,Weekday,4958.0,290.0,65.7,19299.0,28.4,No Event,No Event,No Event,0.0,0.0,0,0,27.19
2025-01-24,Kozani,Center,Weekday,5276.0,334.0,62.6,18847.0,27.41,No Event,No Event,No Event,0.0,0.0,0,0,29.76
2025-01-25,Kozani,Center,Weekend,3533.0,286.0,64.7,13621.0,21.68,No Event,No Event,No Event,0.0,0.0,0,1,28.04
2025-01-26,Kozani,West District,Weekend,4166.5,326.0,74.9,14432.0,23.62,No Event,No Event,No Event,0.0,0.0,0,1,31.13
2025-01-27,Kozani,Center,Weekday,4977.0,287.0,67.3,18126.0,27.47,No Event,No Event,No Event,0.0,0.0,0,0,29.04
2025-01-28,Kozani,West District,Weekday,5026.0,277.0,71.8,19335.0,29.36,No Event,No Event,No Event,0.0,0.0,0,0,27.43
2025-01-29,Kozani,Center,Weekday,4817.0,314.0,72.6,19720.0,29.39,No Event,No Event,No Event,0.0,0.0,0,0,26.02
2025-01-30,Kozani,Center,Weekday,4674.0,306.0,65.4,19844.0,28.58,No Event,No Event,No Event,0.0,0.0,0,0,25.09
2025-01-31,Kozani,West District,Weekday,5226.0,334.0,71.7,18348.0,28.01,No Event,No Event,No Event,0.0,0.0,0,0,30.3
2025-02-01,Kozani,West District,Weekend,3916.0,334.0,69.7,14885.0,23.43,West District,Market,February Market,1309.0,1772.0,0,1,28.55
2025-02-02,Kozani,Center,Weekend,3558.0,313.0,76.8,14749.0,24.11,Center,Sports,February Sports,0.0,1615.0,0,1,26.24
2025-02-03,Kozani,Waterfront,Weekday,4819.0,319.0,61.8,20275.0,28.56,No Event,No Event,No Event,0.0,0.0,0,0,25.34
2025-02-04,Kozani,Waterfront,Weekday,4908.0,313.0,71.6,19607.0,29.21,No Event,No Event,No Event,0.0,0.0,0,0,26.63
2025-02-05,Kozani,Waterfront,Weekday,4985.0,306.0,70.5,18700.0,28.29,No Event,No Event,No Event,0.0,0.0,0,0,28.29
2025-02-06,Kozani,West District,Weekday,4975.0,306.0,70.4,20296.0,29.86,No Event,No Event,No Event,0.0,0.0,0,0,26.02
2025-02-07,Kozani,University,Weekday,4699.0,276.0,65.5,18262.0,27.28,No Event,No Event,No Event,0.0,0.0,0,0,27.24
2025-02-08,Kozani,Waterfront,Weekend,3363.0,326.0,69.0,14416.0,22.57,No Event,No Event,No Event,0.0,0.0,0,1,25.59
2025-02-09,Kozani,Waterfront,Weekend,3738.0,324.0,69.7,15755.0,24.26,Waterfront,Market,February Market,939.0,1599.0,0,1,25.78
2025-02-10,Kozani,Center,Weekday,5081.0,326.0,66.9,20144.0,29.18,No Event,No Event,No Event,0.0,0.0,0,0,26.84
2025-02-11,Kozani,West District,Weekday,4868.0,333.0,63.5,19397.0,27.8,No Event,No Event,No Event,0.0,0.0,0,0,26.81
2025-02-12,Kozani,Center,Weekday,4743.0,333.0,70.0,19776.0,28.91,No Event,No Event,No Event,0.0,0.0,0,0,25.67
2025-02-13,Kozani,West District,Weekday,4843.0,343.0,74.7,19374.0,29.08,No Event,No Event,No Event,0.0,0.0,0,0,26.77
2025-02-14,Kozani,University,Weekday,4589.0,280.0,66.2,19638.0,28.64,No Event,No Event,No Event,0.0,0.0,0,0,24.79
2025-02-15,Kozani,University,Weekend,3450.0,336.0,81.4,14547.0,24.23,No Event,No Event,No Event,0.0,0.0,0,1,26.02
2025-02-16,Kozani,University,Weekend,3406.0,268.0,78.0,13800.0,23.59,No Event,No Event,No Event,0.0,0.0,0,1,26.62
2025-02-17,Kozani,Center,Weekday,4990.0,324.0,71.3,19185.0,28.72,No Event,No Event,No Event,0.0,0.0,0,0,27.7
2025-02-18,Kozani,University,Weekday,4719.0,270.0,62.1,19903.0,28.24,No Event,No Event,No Event,0.0,0.0,0,0,25.07
2025-02-19,Kozani,Waterfront,Weekday,4796.0,322.0,77.5,18738.0,28.94,No Event,No Event,No Event,0.0,0.0,0,0,27.31
2025-02-20,Kozani,University,Weekday,4776.0,295.0,68.3,19521.0,28.79,No Event,No Event,No Event,0.0,0.0,0,0,25.98
2025-02-21,Kozani,Center,Weekday,5063.0,361.0,70.2,19735.0,28.89,No Event,No Event,No Event,0.0,0.0,0,0,27.48
2025-02-22,Kozani,West District,Weekend,3364.0,300.0,73.8,14278.0,23.24,No Event,No Event,No Event,0.0,0.0,0,1,25.66
2025-02-23,Kozani,Waterfront,Weekend,3503.0,305.0,68.1,14441.0,22.74,No Event,No Event,No Event,0.0,0.0,0,1,26.37
2025-02-24,Kozani,Center,Weekday,4871.0,343.0,63.3,19120.0,27.42,No Event,No Event,No Event,0.0,0.0,0,0,27.27
2025-02-25,Kozani,Waterfront,Weekday,4712.0,332.0,72.1,19681.0,29.07,No Event,No Event,No Event,0.0,0.0,0,0,25.63
2025-02-26,Kozani,University,Weekday,4915.0,319.0,73.9,20216.0,30.07,University,Cultural,February Cultural,968.0,1307.0,0,0,25.89
2025-02-27,Kozani,Center,Weekday,4638.0,333.0,69.5,20065.0,29.07,No Event,No Event,No Event,0.0,0.0,0,0,24.77
